Country ID,Country,"Time series - Total N2O emissions, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N2O emissions, latest year",% change since 1990,"N2O emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,942.65",...,...,...,...,...,...,...,"19,610.00",...,...,...,...,...,2013,"19,610.00",...,0.608
8,Albania,96.10,136.40,108.50,96.10,96.10,93.00,83.70,77.50,74.40,77.50,111.72,114.82,114.83,114.82,117.92,114.97,117.92,117.89,120.98,120.96,...,...,...,...,...,...,...,...,...,2009,120.96,25.87,0.041
12,Algeria,...,...,...,...,"9,300.00",...,...,...,...,...,"6,500.70",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"6,500.70",...,0.209
24,Angola,...,...,...,...,...,...,...,...,...,...,"13,940.70",...,...,...,...,"13,869.40",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"13,869.40",...,0.714
28,Antigua and Barbuda,1.58,...,...,...,...,...,...,...,...,...,83.70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,83.70,"5,194.12",1.101
32,Argentina,"51,823.68",...,...,...,"56,689.61",...,...,"62,089.62",...,...,"67,503.73",...,...,...,...,...,...,...,...,...,"75,178.82",...,"73,154.41",...,...,...,...,...,...,2012,"73,154.41",41.16,1.752
51,Armenia,169.57,...,...,...,...,...,...,...,...,...,480.81,...,...,...,...,...,682.93,...,...,...,484.07,...,...,...,...,...,...,...,...,2010,484.07,185.47,0.168
36,Australia,53.48,52.21,51.57,53.14,54.75,52.30,56.55,59.22,60.04,61.70,64.99,66.06,67.83,63.83,69.46,69.78,69.54,64.29,65.21,66.51,66.15,68.72,69.87,65.95,67.44,65.63,65.66,71.36,67.50,2018,67.50,26.20,0.003
40,Austria,14.50,14.61,13.98,14.08,13.92,14.24,14.34,14.43,14.59,14.56,14.49,14.08,14.09,14.06,12.09,12.09,12.12,12.16,12.77,12.02,11.37,11.68,11.58,11.53,11.81,11.84,12.15,11.95,11.83,2018,11.83,-18.39,0.001
31,Azerbaijan,"3,772.70","1,925.10","2,132.80","1,701.90","1,429.10","1,295.80","1,308.20","1,515.90","1,729.80","2,346.70","2,343.60","2,548.20","2,700.10","2,777.60","2,879.90","2,852.00","2,873.70","3,084.50","3,025.60","3,193.00","3,137.20","3,087.60","3,422.40","2,767.12",...,...,...,...,...,2013,"2,767.12",-26.65,0.295
44,Bahamas,...,...,...,...,310.00,...,...,...,...,...,38.51,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,38.51,...,0.129
48,Bahrain,...,...,...,...,40.92,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,40.92,...,0.074
50,Bangladesh,...,...,...,...,"4,458.76",...,...,...,...,...,...,"16,414.50",...,...,...,"19,114.60",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"19,114.60",...,0.137
52,Barbados,49.60,...,...,...,49.60,...,...,49.60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,49.60,...,0.185
112,Belarus,55.77,54.20,48.47,48.96,41.79,38.96,41.68,42.99,52.52,41.10,41.70,41.72,37.32,39.33,40.66,41.94,44.29,43.95,46.37,47.35,46.88,49.48,48.49,48.21,47.31,46.35,46.89,48.44,47.05,2018,47.05,-15.64,0.005
56,Belgium,33.80,33.36,32.43,33.35,34.71,36.33,37.80,37.05,36.67,36.69,34.27,32.94,31.76,28.75,29.38,28.55,25.18,23.42,23.40,23.73,25.46,21.39,21.16,20.63,20.74,20.25,19.34,20.06,19.14,2018,19.14,-43.39,0.002
84,Belize,...,...,...,...,171.12,...,...,...,...,...,"11,637.47",...,...,598.30,...,...,620.00,...,...,489.80,...,...,...,...,...,...,...,...,...,2009,489.80,...,1.557
204,Benin,...,...,...,...,...,530.16,...,...,...,...,"2,511.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"2,511.00",...,0.366
64,Bhutan,...,...,...,...,660.30,...,...,...,...,...,465.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,465.00,...,0.787
68,Bolivia (Plurinational State of),576.60,...,...,...,858.70,...,...,...,855.60,...,914.50,...,"1,225.80",...,"1,386.91",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,"1,386.91",140.53,0.153
70,Bosnia and Herzegovina,"3,127.90","2,600.90","1,596.50",747.10,852.50,936.20,"1,094.30","1,140.80","1,168.70","1,261.70","1,233.80","1,460.10",...,...,...,...,...,...,...,...,...,...,...,"1,860.00","1,550.00",...,...,...,...,2014,"1,550.00",-50.45,0.445
72,Botswana,...,...,...,...,"2,038.56",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"12,475.14",...,...,...,2015,"12,475.14",...,5.883
